"Distribution x_1","Distribution x_2","DGP","Model","Effect Size Scenario","Transition","Model Type","Coefficient (true)","Coefficient (mean)","Coefficient (lower)","Coefficient (upper)","Bias (mean)","Bias (lower)","Bias (upper)","Coverage (mean)","Coverage (lower)","Coverage (upper)"
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM",NA,"Progression Interaction","$x_1$-only Model",0,-0.0571148,-0.1940525,0.0879,-0.0571148,-0.1940525,0.0879,0.844666666666667,0.825330684907029,0.862642100985533
"Bernoulli(0.5)","Bernoulli(0.5)","MTS DGP","STSS PAM",NA,"Progression Interaction","Full Model",0,-0.00355353333333333,-0.132845,0.138545,-0.00355353333333333,-0.132845,0.138545,0.949333333333333,0.936990717693949,0.959875836039791
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Large","Onset","$x_1$-only Model",0.6,0.5793926,0.4994475,0.656905,-0.0206074,-0.1005525,0.0569050000000001,0.934,0.908557101389134,0.954136642889412
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Large","Onset","Full Model",0.6,0.6011014,0.5175975,0.68137,0.00110140000000002,-0.0824025,0.0813699999999999,0.948,0.924733628969378,0.965754301917232
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Large","Progression","$x_1$-only Model",0.6,0.6017676,0.39709,0.802305,0.00176760000000002,-0.20291,0.202305,0.934,0.908557101389134,0.954136642889412
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Large","Progression","Full Model",0.6,0.640576,0.4463125,0.8455025,0.040576,-0.1536875,0.2455025,0.916,0.888151698754588,0.938790941391652
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Large","Progression Interaction","$x_1$-only Model",0,0.0223738,-0.1943525,0.239845,0.0223738,-0.1943525,0.239845,0.924,0.897174417885006,0.945659218756088
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Large","Progression Interaction","Full Model",0,0.0394732,-0.1699575,0.266555,0.0394732,-0.1699575,0.266555,0.934,0.908557101389134,0.954136642889412
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Medium","Onset","$x_1$-only Model",0.4,0.3969272,0.3109075,0.486275,-0.00307280000000002,-0.0890925,0.0862749999999999,0.946,0.922402531505063,0.964115740278066
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Medium","Onset","Full Model",0.4,0.4014818,0.3109425,0.4994,0.00148179999999998,-0.0890575,0.0994,0.928,0.901712562663143,0.949065666874867
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Medium","Progression","$x_1$-only Model",0.4,0.4201694,0.2571075,0.594605,0.0201694,-0.1428925,0.194605,0.914,0.885906330653944,0.937063233433813
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Medium","Progression","Full Model",0.4,0.4296194,0.2765975,0.601125,0.0296194,-0.1234025,0.201125,0.912,0.883664829336834,0.935331542458942
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Medium","Progression Interaction","$x_1$-only Model",0,0.0232416,-0.1658725,0.214785,0.0232416,-0.1658725,0.214785,0.922,0.894912273569934,0.94394882622444
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Medium","Progression Interaction","Full Model",0,0.028137,-0.1483725,0.2107125,0.028137,-0.1483725,0.2107125,0.93,0.903988908407367,0.950761355279621
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Small","Onset","$x_1$-only Model",0.2,0.1982332,0.1065825,0.28094,-0.00176680000000001,-0.0934175,0.08094,0.96,0.938897390611755,0.975398687914455
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Small","Onset","Full Model",0.2,0.2002776,0.1160225,0.2865275,0.000277599999999989,-0.0839775,0.0865274999999999,0.956,0.934138999676405,0.972223232714428
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Small","Progression","$x_1$-only Model",0.2,0.2176746,0.01818,0.3973975,0.0176746,-0.18182,0.1973975,0.932,0.906270353192629,0.952451753367345
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Small","Progression","Full Model",0.2,0.2122556,0.0141025,0.39783,0.0122556,-0.1858975,0.19783,0.904,0.874735253436669,0.928367306024659
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Small","Progression Interaction","$x_1$-only Model",0,0.0194402,-0.1881825,0.2337175,0.0194402,-0.1881825,0.2337175,0.93,0.903988908407367,0.950761355279621
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM","Small","Progression Interaction","Full Model",0,0.0119784,-0.186655,0.2286475,0.0119784,-0.186655,0.2286475,0.928,0.901712562663143,0.949065666874867
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM",NA,"Onset","$x_1$-only Model",1,0.704419933333333,0.4232375,0.9415525,-0.0622467333333333,-0.1715625,0.0517199999999999,0.596666666666667,0.571338305120674,0.621615751030471
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM",NA,"Onset","Full Model",1,0.766187333333333,0.4406,1.0537525,-0.000479333333333349,-0.0821925000000001,0.0804199999999999,0.946,0.933327052683642,0.956888141478602
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM",NA,"Progression","$x_1$-only Model",1,0.727871933333333,0.4031,1.0246575,-0.0387947333333334,-0.21248,0.141635,0.847333333333333,0.828121070965136,0.865174297276233
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM",NA,"Progression","Full Model",1,0.818919266666667,0.4159825,1.20302,0.0522526,-0.1060675,0.2170625,0.848666666666667,0.82951698261269,0.866439673043504
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM",NA,"Progression Interaction","$x_1$-only Model",0,0.0234520666666667,-0.15361,0.1909625,0.0234520666666667,-0.15361,0.1909625,0.926666666666667,0.912287593952416,0.939346463369904
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","MTS PAM",NA,"Progression Interaction","Full Model",0,0.0527308,-0.1385525,0.2255625,0.0527308,-0.1385525,0.2255625,0.865333333333333,0.847008707166808,0.882213803443339
